Filter Name ; Dimension ; Image Size ; CPU(12) (s) ; GPU (s) ; CPU/GPU Speed Ratio ; RMS Error ; RMS Relative ; Test Passed ; Run Times ; Comments
GenericMultiResolutionPyramidImageFilter ; 2 ; 256x256 ; 0.00470114 ; 0.217159 ; 0.0216484 ; 2.60685e-05 ; 6.64077e-07 ; Yes ; 1 ; RescaleSchedule(Off), SmoothingSchedule(On), ShrinkImageFilter(Off)
GenericMultiResolutionPyramidImageFilter ; 2 ; 256x256 ; 0.00574303 ; 0.220315 ; 0.0260673 ; 2.60685e-05 ; 6.64077e-07 ; Yes ; 1 ; RescaleSchedule(On), SmoothingSchedule(Off), ShrinkImageFilter(Off)
GenericMultiResolutionPyramidImageFilter ; 2 ; 256x256 ; 0.00517368 ; 0.217216 ; 0.0238182 ; 2.60685e-05 ; 6.64077e-07 ; Yes ; 1 ; RescaleSchedule(On), SmoothingSchedule(On), ShrinkImageFilter(Off)
GenericMultiResolutionPyramidImageFilter ; 2 ; 256x256 ; 0.00399852 ; 0.192657 ; 0.0207546 ; 3.31295e-05 ; 8.4344e-07 ; Yes ; 1 ; RescaleSchedule(Off), SmoothingSchedule(On), ShrinkImageFilter(On)
GenericMultiResolutionPyramidImageFilter ; 2 ; 256x256 ; 0.00454068 ; 0.2053 ; 0.0221173 ; 3.31295e-05 ; 8.4344e-07 ; Yes ; 1 ; RescaleSchedule(On), SmoothingSchedule(Off), ShrinkImageFilter(On)
GenericMultiResolutionPyramidImageFilter ; 2 ; 256x256 ; 0.00396752 ; 0.219916 ; 0.0180411 ; 3.31295e-05 ; 8.4344e-07 ; Yes ; 1 ; RescaleSchedule(On), SmoothingSchedule(On), ShrinkImageFilter(On)
GenericMultiResolutionPyramidImageFilter ; 3 ; 100x100x100 ; 0.0508864 ; 0.226884 ; 0.224284 ; 0.000753448 ; 7.32437e-07 ; Yes ; 1 ; RescaleSchedule(Off), SmoothingSchedule(On), ShrinkImageFilter(Off)
GenericMultiResolutionPyramidImageFilter ; 3 ; 100x100x100 ; 0.0481386 ; 0.238523 ; 0.201819 ; 0.000753448 ; 7.32437e-07 ; Yes ; 1 ; RescaleSchedule(On), SmoothingSchedule(Off), ShrinkImageFilter(Off)
GenericMultiResolutionPyramidImageFilter ; 3 ; 100x100x100 ; 0.0470424 ; 0.219569 ; 0.214248 ; 0.000753448 ; 7.32437e-07 ; Yes ; 1 ; RescaleSchedule(On), SmoothingSchedule(On), ShrinkImageFilter(Off)
GenericMultiResolutionPyramidImageFilter ; 3 ; 100x100x100 ; 0.0477035 ; 0.216789 ; 0.220046 ; 0.000711795 ; 6.93083e-07 ; Yes ; 1 ; RescaleSchedule(Off), SmoothingSchedule(On), ShrinkImageFilter(On)
GenericMultiResolutionPyramidImageFilter ; 3 ; 100x100x100 ; 0.0446486 ; 0.201053 ; 0.222074 ; 0.000711795 ; 6.93083e-07 ; Yes ; 1 ; RescaleSchedule(On), SmoothingSchedule(Off), ShrinkImageFilter(On)
GenericMultiResolutionPyramidImageFilter ; 3 ; 100x100x100 ; 0.0467851 ; 0.209157 ; 0.223685 ; 0.000711795 ; 6.93083e-07 ; Yes ; 1 ; RescaleSchedule(On), SmoothingSchedule(On), ShrinkImageFilter(On)
GenericMultiResolutionPyramidImageFilter ; 3 ; 115x157x129 ; 0.0763271 ; 0.247265 ; 0.308685 ; 0.000558099 ; 9.80738e-07 ; Yes ; 1 ; RescaleSchedule(Off), SmoothingSchedule(On), ShrinkImageFilter(Off)
GenericMultiResolutionPyramidImageFilter ; 3 ; 115x157x129 ; 0.0738404 ; 0.251206 ; 0.293944 ; 0.000558099 ; 9.80738e-07 ; Yes ; 1 ; RescaleSchedule(On), SmoothingSchedule(Off), ShrinkImageFilter(Off)
GenericMultiResolutionPyramidImageFilter ; 3 ; 115x157x129 ; 0.0784965 ; 0.257185 ; 0.305214 ; 0.000558099 ; 9.80738e-07 ; Yes ; 1 ; RescaleSchedule(On), SmoothingSchedule(On), ShrinkImageFilter(Off)
GenericMultiResolutionPyramidImageFilter ; 3 ; 115x157x129 ; 0.0669746 ; 0.22562 ; 0.296847 ; 0.000335644 ; 5.93543e-07 ; Yes ; 1 ; RescaleSchedule(Off), SmoothingSchedule(On), ShrinkImageFilter(On)
GenericMultiResolutionPyramidImageFilter ; 3 ; 115x157x129 ; 0.0712893 ; 0.241035 ; 0.295763 ; 0.000335644 ; 5.93543e-07 ; Yes ; 1 ; RescaleSchedule(On), SmoothingSchedule(Off), ShrinkImageFilter(On)
GenericMultiResolutionPyramidImageFilter ; 3 ; 115x157x129 ; 0.0697052 ; 0.238554 ; 0.292199 ; 0.000335644 ; 5.93543e-07 ; Yes ; 1 ; RescaleSchedule(On), SmoothingSchedule(On), ShrinkImageFilter(On)
GenericMultiResolutionPyramidImageFilter ; 3 ; 256x256x256 ; 0.4752 ; 0.523269 ; 0.908137 ; 0.00115514 ; 1.05087e-06 ; Yes ; 1 ; RescaleSchedule(Off), SmoothingSchedule(On), ShrinkImageFilter(Off)
